year,cases
2022.576923076923,3871.5450943067394
2022.5961538461538,3871.3824638415194
2022.6153846153845,3871.220587253569
2022.6346153846155,3871.0594655330992
2022.6538461538462,3870.899099647524
2022.673076923077,3870.739490541494
2022.6923076923076,3870.5806391371384
2022.7115384615386,3870.422546334259
2022.7307692307693,3870.265213010539
2022.75,3870.1086400216386
2022.7692307692307,3869.9528282015003
2022.7884615384614,3869.7977783624383
2022.8076923076924,3869.643491295342
2022.826923076923,3869.489967769946
2022.8461538461538,3869.3372085348237
2022.8653846153845,3869.1852143177516
2022.8846153846155,3869.033985825798
2022.9038461538462,3868.8835237454896
2022.923076923077,3868.7338287430393
2022.9423076923076,3868.5849014644855
2022.9615384615386,3868.4367425358805
2022.9807692307693,3868.289352563423
2023,3868.1427321337137
2023.0192307692307,3867.996881813851
2023.0384615384614,3867.851813432591
2023.0576923076924,3867.7075273841956
2023.076923076923,3867.5640240449443
2023.0961538461538,3867.42130377343
2023.1153846153845,3867.279366910623
2023.1346153846155,3867.1382137800906
2023.1538461538462,3866.9978446881228
2023.173076923077,3866.8582599238653
2023.1923076923076,3866.71945975956
2023.2115384615386,3866.581444450596
2023.2307692307693,3866.4442142357007
2023.25,3866.307769337162
2023.2692307692307,3866.1721099608376
2023.2884615384614,3866.037236296469
2023.3076923076924,3865.90314851772
2023.326923076923,3865.7698467823298
2023.3461538461538,3865.6373312323417
2023.3653846153845,3865.5056019941626
2023.3846153846155,3865.3746591787863
2023.4038461538462,3865.244502881869
2023.423076923077,3865.1151331839624
2023.4423076923076,3864.986550150531
2023.4615384615386,3864.8587538322454
2023.4807692307693,3864.7317442650465
2023.5,3864.605521470274
2023.5192307692307,3864.480085454864
2023.5384615384614,3864.3554362114446
2023.5576923076924,3864.2315737185086
2023.576923076923,3864.1084979405628
2023.5961538461538,3863.986208828196
2023.6153846153845,3863.8647063183403
2023.6346153846155,3863.743990334265
2023.6538461538462,3863.624060785858
2023.673076923077,3863.504917569648
2023.6923076923076,3863.3865605689757
2023.7115384615386,3863.2689896541597
2023.7307692307693,3863.1522046826126
2023.75,3863.03620549891
2023.7692307692307,3862.9209919350524
2023.7884615384614,3862.806563810429
2023.8076923076924,3862.692920932079
2023.826923076923,3862.580063094799
2023.8461538461538,3862.4679900811684
2023.8653846153845,3862.3567016618495
2023.8846153846155,3862.24619759549
2023.9038461538462,3862.136477629102
2023.923076923077,3862.027541497942
2023.9423076923076,3861.9193889257963
2023.9615384615386,3861.8120196250534
2023.9807692307693,3861.705433296783
2024,3861.5996296309163
2024.0192307692307,3861.494608306318
2024.0384615384614,3861.390339543015
2024.0576923076924,3861.286823298851
2024.076923076923,3861.1840595185295
